file_name,Barrier,BDE,E12,E13,E14,E15,E16,Q07,Q08,B06,V07,V08,V09,E01,E02,E03,E04,E05,E06,Q01,Q02,Q03,Q04,B01,B02,B03,V01,V02,V03,E17,E18,E19,E20,E21,E22,Q09,Q10,Q11,Q12,B07,B08,B09,V10,V11,V12,E07,E08,E09,E10,E11,Q05,Q06,B04,B05,V04,V05,V06
d,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
meta,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S38-S2-P1,12.9,-8.78,-0.303311,0.355829,0.092906,0.224367,3.803395,-0.29168,0.60318,0.9586,0.4823,0.4049,0.3234,-0.270231,0.003855,-0.133188,0.137043,7.29697978,0.064721,-0.43406,-0.04967,-0.0272,-0.02247,1.0392,0.9095,0.9702,0.5406,0.3351,0.2191,-0.296252,0.044579,-0.125837,0.170416,5.867993616,0.046459,-0.49229,0.49248,0.06897,0.42351,0.9241,0.9615,0.8867,0.5032,0.4125,0.3268,-0.209194,0.236509,0.034155,0.135332,4.941835,-0.12958,0.25883,1.1919,1.6007,0.5313,0.3344,0.2157
S39-S2-P1,13.7,-4.61,-0.303311,0.355829,0.092906,0.224367,3.803395,-0.29168,0.60318,0.9586,0.4823,0.4049,0.3234,-0.298222,0.053323,-0.12245,0.175773,5.6891559,0.042651,-0.42506,-0.06957,-0.00681,-0.06276,1.037,0.9146,0.9748,0.5174,0.2731,0.1619,-0.296252,0.044579,-0.125837,0.170416,5.867993616,0.046459,-0.49229,0.49248,0.06897,0.42351,0.9241,0.9615,0.8867,0.5032,0.4125,0.3268,-0.217282,0.256637,-0.001823,0.127407,3.869071,-0.12511,0.37422,1.1587,1.4781,0.5035,0.2659,0.1583
S40-O6-P1,9.4,-22.47,-0.337229,0.437064,0.109588,0.273326,3.053659,-0.37776,0.29842,1.3896,0.3735,0.2323,0.1573,-0.293181,-0.048114,-0.170648,0.122534,8.161000212,0.118827,0.41759,-0.03652,0.11905,-0.15557,1.8332,0.9029,1.2597,0.4544,0.2699,0.1735,-0.322334,-0.028351,-0.175343,0.146992,6.803091325,0.104581,-0.68241,0.02108,0.04305,-0.02197,0.888,0.7369,1.039,0.3977,0.2454,0.1647,-0.2605,0.285967,0.01909,0.152529,3.747045,0.51205,0.43679,1.4574,1.8807,0.4358,0.2622,0.1696
S41-O6-P1,8.9,-23.62,-0.337229,0.437064,0.109588,0.273326,3.053659,-0.37776,0.29842,1.3896,0.3735,0.2323,0.1573,-0.3119,-0.037512,-0.174706,0.137194,7.288948496,0.111237,0.41657,-0.04364,0.17753,-0.22117,1.8212,0.9027,1.2587,0.4852,0.3108,0.2046,-0.322334,-0.028351,-0.175343,0.146992,6.803091325,0.104581,-0.68241,0.02108,0.04305,-0.02197,0.888,0.7369,1.039,0.3977,0.2454,0.1647,-0.25678,0.287338,0.001039,0.144189,3.492852,0.50957,0.45061,1.4558,1.8684,0.4684,0.3043,0.2009
S42-O6-P1,10.2,-22.04,-0.337229,0.437064,0.109588,0.273326,3.053659,-0.37776,0.29842,1.3896,0.3735,0.2323,0.1573,-0.345727,-0.057146,-0.201437,0.144291,6.930439182,0.140608,0.41824,-0.03186,0.15763,-0.18949,1.8498,0.9024,1.2605,0.4543,0.2704,0.1837,-0.322334,-0.028351,-0.175343,0.146992,6.803091325,0.104581,-0.68241,0.02108,0.04305,-0.02197,0.888,0.7369,1.039,0.3977,0.2454,0.1647,-0.276991,0.309779,0.022228,0.166003,3.477644,0.51716,0.26998,1.4577,1.8973,0.4357,0.2627,0.1787
S43-O6-P1,10.3,-22.38,-0.337229,0.437064,0.109588,0.273326,3.053659,-0.37776,0.29842,1.3896,0.3735,0.2323,0.1573,-0.2854,-0.048968,-0.167184,0.118216,8.459091832,0.118218,0.41714,-0.02653,0.1113,-0.13783,1.8323,0.9025,1.2593,0.4555,0.2706,0.1787,-0.322334,-0.028351,-0.175343,0.146992,6.803091325,0.104581,-0.68241,0.02108,0.04305,-0.02197,0.888,0.7369,1.039,0.3977,0.2454,0.1647,-0.261007,0.286458,0.01836,0.152409,3.729979,0.51249,0.43598,1.4572,1.8799,0.4366,0.2626,0.1748
S44-O6-P1,10,-22.66,-0.337229,0.437064,0.109588,0.273326,3.053659,-0.37776,0.29842,1.3896,0.3735,0.2323,0.1573,-0.285897,-0.038133,-0.162015,0.123882,8.072197737,0.105943,0.41359,-0.03103,0.12796,-0.15899,1.8103,0.9027,1.2572,0.4635,0.2936,0.1982,-0.322334,-0.028351,-0.175343,0.146992,6.803091325,0.104581,-0.68241,0.02108,0.04305,-0.02197,0.888,0.7369,1.039,0.3977,0.2454,0.1647,-0.263694,0.289322,0.006687,0.148005,3.538132,0.50959,0.43354,1.4575,1.8575,0.446,0.286,0.1943
S48-O6-P1,10.7,-22.62,-0.337229,0.437064,0.109588,0.273326,3.053659,-0.37776,0.29842,1.3896,0.3735,0.2323,0.1573,-0.31188,-0.046126,-0.179003,0.132877,7.525756903,0.12057,0.39358,-0.02424,0.15348,-0.17772,1.813,0.8943,1.2637,0.4431,0.2681,0.1665,-0.322334,-0.028351,-0.175343,0.146992,6.803091325,0.104581,-0.68241,0.02108,0.04305,-0.02197,0.888,0.7369,1.039,0.3977,0.2454,0.1647,-0.264106,0.296172,0.009037,0.152604,3.482682,0.50319,0.39635,1.4915,1.865,0.4249,0.2598,0.1626
S49-O6-P1,8.7,-23.07,-0.337229,0.437064,0.109588,0.273326,3.053659,-0.37776,0.29842,1.3896,0.3735,0.2323,0.1573,-0.320219,-0.020299,-0.170259,0.14996,6.668444919,0.096653,0.40642,-0.04311,0.1987,-0.24181,1.8168,0.9006,1.2579,0.4628,0.2841,0.191,-0.322334,-0.028351,-0.175343,0.146992,6.803091325,0.104581,-0.68241,0.02108,0.04305,-0.02197,0.888,0.7369,1.039,0.3977,0.2454,0.1647,-0.251844,0.285629,-0.013765,0.135932,3.34008,0.49947,0.43409,1.458,1.8668,0.4441,0.2762,0.1868
S01-N5-P2,17.9,-1.77,-0.502103,0.530426,0.266994,0.39871,3.796046,0.0082,0.30485,1.0096,0.6977,0.4278,0.2297,-0.296629,0.053721,-0.121454,0.175175,5.708577137,0.042104,-0.4069,-0.00758,0.02384,-0.03142,1.0129,0.9297,0.9712,0.5333,0.3071,0.1883,-0.535219,-0.124452,-0.329836,0.205384,4.868928446,0.26485,-0.33523,0.01501,0.09441,-0.0794,0.8762,0.7761,0.9096,0.6974,0.4295,0.2347,-0.253107,0.290618,-0.009095,0.140761,3.336525,-0.09149,0.619,1.0187,1.0598,0.519,0.3006,0.185
